WebUrl,ContentTypeName_original,ContentTypeName,ContentTypeParent,Description,Group,IncludedSiteColumns
http://legacydocs.murphyoilcorp.com/documentum,DCTM Legacy Document_s,DCTM Legacy Document,Document,Generic Documentum Legacy Document,DCTM Legacy,DCTM Subject;DCTM Legacy Chronicle ID;DCTM Legacy Object ID;DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Creator;DCTM Legacy Modifier;DCTM Legacy Relation;DCTM MOC Legacy Approver;DCTM MOC Legacy Custom1;DCTM MOC Legacy Custom2;DCTM MOC Legacy Custom3;DCTM MOC Legacy Custom4;DCTM MOC Legacy Custom5;DCTM MOC Legacy Create Date;DCTM MOC Legacy Last Modify Date;DCTM MOC Legacy Source;DCTM Legacy Folder Path
http://legacydocs.murphyoilcorp.com/documentum,DCTM aps_export_log_s,DCTM aps_export_log,DCTM Legacy Document,Documentum Legacy aps_export_log_s document,DCTM Legacy, DCTM APS Export Batch No; DCTM APS Export Date
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_1099_s,DCTM moc_1099,DCTM Legacy Document,Documentum Legacy moc_1099_s document,DCTM Legacy, DCTM Payer EIN; DCTM Recipient Name; DCTM Recipient Id; DCTM Payer Name; DCTM Type; DCTM Payer Phone; DCTM Account Number; DCTM Year; DCTM Id
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_afe_s,DCTM moc_afe,DCTM Legacy Document,Documentum Legacy moc_afe_s document,DCTM Legacy, DCTM AFE; DCTM Supplement; DCTM Company; DCTM Year
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_airplanes_s,DCTM moc_airplanes,DCTM Legacy Document,Documentum Legacy moc_airplanes_s document,DCTM Legacy, DCTM Year; DCTM Report Name
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_ap_ach_s,DCTM moc_ap_ach,DCTM Legacy Document,Documentum Legacy moc_ap_ach_s document,DCTM Legacy, DCTM Vendor Name; DCTM Vendor Number
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_ap_cash_flow_s,DCTM moc_ap_cash_flow,DCTM Legacy Document,Documentum Legacy moc_ap_cash_flow_s document,DCTM Legacy, DCTM Month; DCTM Year
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_ap_due_diligence_s,DCTM moc_ap_due_diligence,DCTM Legacy Document,Documentum Legacy moc_ap_due_diligence_s document,DCTM Legacy, DCTM Year; DCTM State; DCTM Last Name; DCTM First Name
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_apaudit_s,DCTM moc_apaudit,DCTM Legacy Document,Documentum Legacy moc_apaudit_s document,DCTM Legacy, DCTM Invoice Number; DCTM Voucher Number; DCTM Voucher Type; DCTM Approver
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_apjournal_s,DCTM moc_apjournal,DCTM Legacy Document,Documentum Legacy moc_apjournal_s document,DCTM Legacy, DCTM Journal Entry Number; DCTM Journal Entry Type; DCTM Company
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_apprlauth_s,DCTM moc_apprlauth,DCTM Legacy Document,Documentum Legacy moc_apprlauth_s document,DCTM Legacy, DCTM Last Name; DCTM First Name
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_apwalmart_s,DCTM moc_apwalmart,DCTM Legacy Document,Documentum Legacy moc_apwalmart_s document,DCTM Legacy, DCTM Vendor Number; DCTM Invoice Number
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_archive_s,DCTM moc_archive,DCTM Legacy Document,Documentum Legacy moc_archive_s document,DCTM Legacy, DCTM Year 2; DCTM Report Name; DCTM Report Description
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_auditstmt_s,DCTM moc_auditstmt,DCTM Legacy Document,Documentum Legacy moc_auditstmt_s document,DCTM Legacy, DCTM Year; DCTM Report
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_audwrkpap_s,DCTM moc_audwrkpap,DCTM Legacy Document,Documentum Legacy moc_audwrkpap_s document,DCTM Legacy, DCTM Year; DCTM Workpaper
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_bank_acct_recon_s,DCTM moc_bank_acct_recon,DCTM Legacy Document,Documentum Legacy moc_bank_acct_recon_s document,DCTM Legacy, DCTM Bank Account Name; DCTM JD Edwards Account Number; DCTM Month; DCTM Year
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_bol_s,DCTM moc_bol,DCTM Legacy Document,Documentum Legacy moc_bol_s document,DCTM Legacy, DCTM BOL; DCTM Destination Number; DCTM Year; DCTM Customer Number; DCTM Day; DCTM Month; DCTM Terminal Number; DCTM Vendor Number; DCTM Period ; DCTM BOL BOLNO
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_budcapex_s,DCTM moc_budcapex,DCTM Legacy Document,Documentum Legacy moc_budcapex_s document,DCTM Legacy, DCTM Year
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_budconsol_s,DCTM moc_budconsol,DCTM Legacy Document,Documentum Legacy moc_budconsol_s document,DCTM Legacy, DCTM Year
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_bulkcontra_s,DCTM moc_bulkcontra,DCTM Legacy Document,Documentum Legacy moc_bulkcontra_s document,DCTM Legacy, DCTM Contract; DCTM Month; DCTM Year; DCTM Product Name; DCTM Company
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_cancash_s,DCTM moc_cancash,DCTM Legacy Document,Documentum Legacy moc_cancash_s document,DCTM Legacy, DCTM Year; DCTM Month; DCTM Day
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_canckreg_s,DCTM moc_canckreg,DCTM Legacy Document,Documentum Legacy moc_canckreg_s document,DCTM Legacy, DCTM Month; DCTM Year
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_capcommit_s,DCTM moc_capcommit,DCTM Legacy Document,Documentum Legacy moc_capcommit_s document,DCTM Legacy, DCTM Year; DCTM Perioden
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_capex_s,DCTM moc_capex,DCTM Legacy Document,Documentum Legacy moc_capex_s document,DCTM Legacy, DCTM Year; DCTM Report Name; DCTM Month
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_cash_setr_s,DCTM moc_cash_setr,DCTM Legacy Document,Documentum Legacy moc_cash_setr_s document,DCTM Legacy, DCTM moccashsetrmonth; DCTM Cashsetrday; DCTM moccashsetryear
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_cashrecpt_s,DCTM moc_cashrecpt,DCTM Legacy Document,Documentum Legacy moc_cashrecpt_s document,DCTM Legacy, DCTM Year; DCTM Month; DCTM Day
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_chkrequest_s,DCTM moc_chkrequest,DCTM Legacy Document,Documentum Legacy moc_chkrequest_s document,DCTM Legacy, DCTM Check Request Key; DCTM Description; DCTM trnsactke
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_coding_s,DCTM moc_coding,DCTM Legacy Document,Documentum Legacy moc_coding_s document,DCTM Legacy, DCTM Report Name; DCTM Year 2; DCTM Month2
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_completion_s,DCTM moc_completion,DCTM Legacy Document,Documentum Legacy moc_completion_s document,DCTM Legacy, DCTM Month; DCTM Year
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_consolfin_s,DCTM moc_consolfin,DCTM Legacy Document,Documentum Legacy moc_consolfin_s document,DCTM Legacy, DCTM Year; DCTM Month
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_corpstmts_s,DCTM moc_corpstmts,DCTM Legacy Document,Documentum Legacy moc_corpstmts_s document,DCTM Legacy, DCTM Month; DCTM Year
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_creditrpt_s,DCTM moc_creditrpt,DCTM Legacy Document,Documentum Legacy moc_creditrpt_s document,DCTM Legacy, DCTM Customer Name; DCTM Customer Number; DCTM murphyentity; DCTM Gaurantor; DCTM Beneficiary; DCTM Document Type; DCTM Document Date; DCTM Expiration Date
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_ctarates_s,DCTM moc_ctarates,DCTM Legacy Document,Documentum Legacy moc_ctarates_s document,DCTM Legacy, DCTM Year
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_dailysheet_s,DCTM moc_dailysheet,DCTM Legacy Document,Documentum Legacy moc_dailysheet_s document,DCTM Legacy, DCTM Year; DCTM Month
