"WebUrl","ContentTypeName","ContentTypeParent","Description","Group","IncludedSiteColumns"
"http://cthub.murphyoilcorp.com/","DONOTUSE","Item","This content type will be used to publish fields that are not part of any specific content type. This content type should not be used directly in lists and libraries.","Murphy Oil Documents","CascadingField1;CascadingField2;CascadingField3"
"http://cthub.murphyoilcorp.com/","Murphy Document","Document","CORE content type which is the parent for ALL other company related document content types. This content type introduces the business function, retention code and department metadata attributes whose values can be modified by the inheriting content types. Any metadata attribute that should be inherited by all other custom content types should  be added here. Use this content type instead of out-of-the-box 'Document' content type when creating your own custom document content types","Murphy Oil Documents","Name;Business Function;MOCDepartment;Retention Code"
"http://cthub.murphyoilcorp.com/","Murphy Policies Procedures and Standards Document","Murphy Document","Base content type for policy, procedure or standards document. Any business function specific policy/procedure/standard document should inherit from this content type","Murphy Oil Documents","Document Number;Issue Date;Effective Date;Applies To"
"http://cthub.murphyoilcorp.com/","Legal Procedures and Standards Document","Murphy Policies Procedures and Standards Document","Policies, procedures and standards documents that belong under the 'Legal' business function","Murphy Oil Documents",""
"http://cthub.murphyoilcorp.com/","IS Procedures and Standards Document","Murphy Policies Procedures and Standards Document","Policies, procedures and standards documents that belong under the 'Global Information Services' business function","Murphy Oil Documents",""
"http://cthub.murphyoilcorp.com/","HR Procedures and Standards Document","Murphy Policies Procedures and Standards Document","Policies, procedures and standards documents that belong under the 'Human Resources' business function","Murphy Oil Documents","HR Policy Type;MOC Location"
"http://cthub.murphyoilcorp.com/","EXPRO Procedures and Standards Document","Murphy Policies Procedures and Standards Document","Policies, procedures and standards documents that belong under the 'EXPRO' business function - Exploration, Production, Offshore, Onshore","Murphy Oil Documents",""
"http://cthub.murphyoilcorp.com/","HSE Procedures and Standards Document","Murphy Policies Procedures and Standards Document","Policies, procedures and standards documents that belong under the 'Health, Safety and Environmental' business function","Murphy Oil Documents","Level;Level;HSE MS Element"
"http://cthub.murphyoilcorp.com/","Administration Procedures and Standards Document","Murphy Policies Procedures and Standards Document","Policies, procedures and standards documents that belong under the 'Administration' business function","Murphy Oil Documents",""
"http://cthub.murphyoilcorp.com/","Finance Procedures and Standards Document","Murphy Policies Procedures and Standards Document","Policies, procedures and standards documents that belong under the 'Finance' business function","Murphy Oil Documents",""
