"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"Accounting Document","","","TRUE","","","","","","","",""
"","","","TRUE","","1099","","","","","",""
"","","","TRUE","","CAPEX Approval","","","","","",""
"","","","TRUE","","Chart of Accounts","","","","","",""
"","","","TRUE","","Check Request","","","","","",""
"","","","TRUE","","Credit Card Statement","","","","","",""
"","","","TRUE","","Expense Report","","","","","",""
"","","","TRUE","","Invoice","","","","","",""
"","","","TRUE","","Purchase Order","","","","","",""
"","","","TRUE","","Purchase Requisition","","","","","",""
