"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"Swap Contract","","","TRUE","","","","","","","",""
"","","","TRUE","","Commodity Swap","","","","","",""
"","","","TRUE","","Currency Swap","","","","","",""
"","","","TRUE","","Commodity Swap","Deliverable Forward","","","","",""
"","","","TRUE","","Currency Swap","Deliverable Forward","","","","",""
"","","","TRUE","","Commodity Swap","Gas Swap","","","","",""
"","","","TRUE","","Interest Rate Swap","Interest Rate Lock","","","","",""
"","","","TRUE","","Interest Rate Swap","","","","","",""
"","","","TRUE","","Commodity Swap","NGL Swap","","","","",""
"","","","TRUE","","Currency Swap","Non-Deliverable Forward","","","","",""
"","","","TRUE","","Commodity Swap","Oil Swap","","","","",""
"","","","TRUE","","Commodity Swap","Other","","","","",""
"","","","TRUE","","Currency Swap","Other","","","","",""
"","","","TRUE","","Interest Rate Swap","Other","","","","",""
"","","","TRUE","","Other Swap","Other","","","","",""
"","","","TRUE","","Other Swap","","","","","",""
