"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"Swap Document","","","TRUE","","","","","","","",""
"","","","TRUE","","Confirmation","","","","","",""
"","","","TRUE","","Contract","","","","","",""
"","","","TRUE","","Correspondence","","","","","",""
"","","","TRUE","","Email","","","","","",""
"","","","TRUE","","Contract","ISDA","","","","",""
"","","","TRUE","","Contract","NAESB","","","","",""
"","","","TRUE","","Netting Agreement","","","","","",""
"","","","TRUE","","Contract","Other","","","","",""
"","","","TRUE","","Other","","","","","",""
"","","","TRUE","","Settlement","","","","","",""
