"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"Area","","","TRUE","","","","","","","",""
"","","","TRUE","","Cameroon","","","","","",""
"","","","TRUE","","Eagle Ford","Catarina","","","","",""
"","","","TRUE","","Central Dohuk","","","","","",""
"","","","TRUE","","Eagle Ford","","","","","",""
"","","","TRUE","","Elombo","","","","","",""
"","","","TRUE","","Equatorial Guinea","","","","","",""
"","","","TRUE","","Eagle Ford","Karnes","","","","",""
"","","","TRUE","","Kurdistan","","","","","",""
"","","","TRUE","","Medusa","","","","","",""
"","","","TRUE","","Ntem","","","","","",""
"","","","TRUE","","Seal","","","","","",""
"","","","TRUE","","Seal","Seal","","","","",""
"","","","TRUE","","Seal","Seal North","","","","",""
"","","","TRUE","","Suriname","","","","","",""
"","","","TRUE","","Thunderhawk","","","","","",""
"","","","TRUE","","Tupper","Tupper","","","","",""
"","","","TRUE","","Tupper","","","","","",""
"","","","TRUE","","Tupper","Tupper West","","","","",""
