"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"Department","","","TRUE","","","","","","","",""
"","","","TRUE","","#EFS Operations","","","","","",""
"","","","TRUE","","Finance","Accounts Payable","","","","",""
"","","","TRUE","","IT","Application Support","AFE Nexus","","","",""
"","","","TRUE","","IT","Application Support","","","","",""
"","","","TRUE","","Audit","","","","","",""
"","","","TRUE","","IT","Application Support","Bolo","","","",""
"","","","TRUE","","Information Technology","Business Applications","","","","",""
"","","","TRUE","","Business Development","","","","","",""
"","","","TRUE","","Completions","","","","","",""
"","","","TRUE","","Drilling","","","","","",""
"","","","TRUE","","Operations","Engineering","","","","",""
"","","","TRUE","","Executive","","","","","",""
"","","","TRUE","","Exploration","","","","","",""
"","","","TRUE","","Finance","","","","","",""
"","","","TRUE","","Finance","Financial Reporting","","","","",""
"","","","TRUE","","IT","Help Desk","","","","",""
"","","","TRUE","","Information Technology","Help Desk","","","","",""
"","","","TRUE","","HSSE","","","","","",""
"","","","TRUE","","Human Resources","","","","","",""
"","","","TRUE","","Information Technology","","","","","",""
"","","","TRUE","","IT","Infrastructure","","","","",""
"","","","TRUE","","Information Technology","Infrastructure","","","","",""
"","","","TRUE","","Finance","Insurance","","","","",""
"","","","TRUE","","International","","","","","",""
"","","","TRUE","","IT","","","","","",""
"","","","TRUE","","Land","","","","","",""
"","","","TRUE","","Operations","Maintenance","","","","",""
"","","","TRUE","","Marketing","","","","","",""
"","","","TRUE","","Finance","Marketing Accounting","","","","",""
"","","","TRUE","","Finance","Non-Operated Accounting","","","","",""
"","","","TRUE","","#EFS Operations","OPEN_Operation Eng","","","","",""
"","","","TRUE","","#EFS Operations","OPER_Operations","","","","",""
"","","","TRUE","","Finance","Operational Accounting","","","","",""
"","","","TRUE","","Operations","","","","","",""
"","","","TRUE","","Procurement","","","","","",""
"","","","TRUE","","#EFS Operations","PROD_Production","","","","",""
"","","","TRUE","","Finance","Production Accounting","","","","",""
"","","","TRUE","","#EFS Operations","PROJ_Project","","","","",""
"","","","TRUE","","HSSE","Regulatory","","","","",""
"","","","TRUE","","Finance","Royalties","","","","",""
"","","","TRUE","","#EFS Operations","RVEN_Reservoir Eng","","","","",""
"","","","TRUE","","IT","Application Support","SharePoint","","","",""
"","","","TRUE","","Finance","Tax","","","","",""
"","","","TRUE","","Finance","Treasury","","","","",""
"","","","TRUE","","IT","Upstream Applications","","","","",""
