"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"Discipline","","","TRUE","","","","","","","",""
"","","","TRUE","","CVL - Civil","","","","","",""
"","","","TRUE","","DSG - Design","","","","","",""
"","","","TRUE","","ELC - Electrical","","","","","",""
"","","","TRUE","","GEN - General","","","","","",""
"","","","TRUE","","GNG - Geology","","","","","",""
"","","","TRUE","","HSE - Health, Safety, Env","","","","","",""
"","","","TRUE","","INS - Instrument","","","","","",""
"","","","TRUE","","MEC - Mechanical","","","","","",""
"","","","TRUE","","PIP - Pipe","","","","","",""
"","","","TRUE","","PRO - Process","","","","","",""
"","","","TRUE","","RVE - Reservoir","","","","","",""
