"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"Document Type","","","TRUE","","","","","","","",""
"","","","TRUE","","AFE","","","","","",""
"","","","TRUE","","Analysis","","","","","",""
"","","","TRUE","","Drawing","","","","","",""
"","","","TRUE","","License","","","","","",""
"","","","TRUE","","Meeting","","","","","",""
"","","","TRUE","","Report","Monthly","","","","",""
"","","","TRUE","","Organizational","","","","","",""
"","","","TRUE","","Permit","","","","","",""
"","","","TRUE","","Policy","","","","","",""
"","","","TRUE","","Presentation","","","","","",""
"","","","TRUE","","Procedure","","","","","",""
"","","","TRUE","","Report","Quarterly","","","","",""
"","","","TRUE","","Report","","","","","",""
"","","","TRUE","","Schedule","","","","","",""
"","","","TRUE","","Specification","","","","","",""
