"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"Facility Type","","","TRUE","","","","","","","",""
"","","","TRUE","","AL - All","","","","","",""
"","","","TRUE","","CF- Central Facility","","","","","",""
"","","","TRUE","","CF- Central Facility","EFS-CAT-BRN, Briggs North","","","","",""
"","","","TRUE","","CF- Central Facility","EFS-CAT-KON, Kone","","","","",""
"","","","TRUE","","CF- Central Facility","EFS-KRN-DRE, Drees","","","","",""
"","","","TRUE","","CF- Central Facility","EFS-KRN-LIN, Linhart","","","","",""
"","","","TRUE","","CF- Central Facility","EFS-TDN-JMB, Jambers","","","","",""
"","","","TRUE","","CF- Central Facility","EFS-TDN-TYL, Tyler","","","","",""
"","","","TRUE","","CF- Central Facility","EFS-TDN-YBR, Y-Bar","","","","",""
"","","","TRUE","","GS - Gathering System","","","","","",""
"","","","TRUE","","NN - None","","","","","",""
