"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"Field","","","TRUE","","","","","","","",""
"","","","TRUE","","Catarina","","","","","",""
"","","","TRUE","","East Tilden","","","","","",""
"","","","TRUE","","Karnes","","","","","",""
"","","","TRUE","","Nueces","","","","","",""
"","","","TRUE","","Seal","","","","","",""
"","","","TRUE","","Seal North","","","","","",""
"","","","TRUE","","Tilden","","","","","",""
"","","","TRUE","","Tupper","","","","","",""
"","","","TRUE","","Tupper West","","","","","",""
