"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"Project","","","TRUE","","","","","","","",""
"","","","TRUE","","EFS - EagleFord Shale","Catarina","","","","",""
"","","","TRUE","","EFS - EagleFord Shale","East Tilden","","","","",""
"","","","TRUE","","EFS - EagleFord Shale","","","","","",""
"","","","TRUE","","EFS - EagleFord Shale","Catarina","EFS-CAT-BRN, Briggs North","","","",""
"","","","TRUE","","EFS - EagleFord Shale","Catarina","EFS-CAT-BUC, Buckhorn","","","",""
"","","","TRUE","","EFS - EagleFord Shale","Catarina","EFS-CAT-KBS, KBS","","","",""
"","","","TRUE","","EFS - EagleFord Shale","Catarina","EFS-CAT-KIN, King","","","",""
"","","","TRUE","","EFS - EagleFord Shale","Catarina","EFS-CAT-KON, Kone","","","",""
"","","","TRUE","","EFS - EagleFord Shale","Catarina","EFS-CAT-STM, Stumberg","","","",""
"","","","TRUE","","EFS - EagleFord Shale","East Tilden","EFS-ETD-SCD, Scared Dog","","","",""
"","","","TRUE","","EFS - EagleFord Shale","East Tilden","EFS-ETD-TOM, Tom","","","",""
"","","","TRUE","","EFS - EagleFord Shale","Karnes","EFS-KRN-DRE, Drees","","","",""
"","","","TRUE","","EFS - EagleFord Shale","Karnes","EFS-KRN-LIN, Linhart","","","",""
"","","","TRUE","","EFS - EagleFord Shale","Karnes","EFS-KRN-LTK, Latka","","","",""
"","","","TRUE","","EFS - EagleFord Shale","Karnes","EFS-KRN-MKA, Manka","","","",""
"","","","TRUE","","EFS - EagleFord Shale","Tilden","EFS-TDN-BAR, Baring","","","",""
"","","","TRUE","","EFS - EagleFord Shale","Tilden","EFS-TDN-DBK, Double K","","","",""
"","","","TRUE","","EFS - EagleFord Shale","Tilden","EFS-TDN-EDW, Edwards","","","",""
"","","","TRUE","","EFS - EagleFord Shale","Tilden","EFS-TDN-JMB, Jambers","","","",""
"","","","TRUE","","EFS - EagleFord Shale","Tilden","EFS-TDN-PNT, Pennington","","","",""
"","","","TRUE","","EFS - EagleFord Shale","Tilden","EFS-TDN-SAY, Saylee South","","","",""
"","","","TRUE","","EFS - EagleFord Shale","Tilden","EFS-TDN-TYL, Tyler","","","",""
"","","","TRUE","","EFS - EagleFord Shale","Tilden","EFS-TDN-YBR, Y-Bar","","","",""
"","","","TRUE","","EFS - EagleFord Shale","Karnes","","","","",""
"","","","TRUE","","EFS - EagleFord Shale","Tilden","","","","",""
