"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"Asset","","","TRUE","","","","","","","",""
"","","","TRUE","","Block 11-2/11 (VNM)","","","","","",""
"","","","TRUE","","Block 13-03 (VNM)","","","","","",""
"","","","TRUE","","Block 144/145 (VNM)","","","","","",""
"","","","TRUE","","Block 2613 A/B (NAM)","","","","","",""
"","","","TRUE","","Browse (AUS)","Block AC/P36","","","","",""
"","","","TRUE","","Vulcan (AUS)","Block AC/P-57","","","","",""
"","","","TRUE","","Vulcan (AUS)","Block AC/P-58","","","","",""
"","","","TRUE","","Vulcan (AUS)","Block AC/P-59","","","","",""
"","","","TRUE","","Sabah Trough (BRN)","Block CA-1","","","","",""
"","","","TRUE","","Sabah Trough (BRN)","Block CA-2","","","","",""
"","","","TRUE","","Ceduna (AUS)","Block EPP43","","","","",""
"","","","TRUE","","Block H (MYS)","","","","","",""
"","","","TRUE","","Bonaparte (AUS)","Block NT/P80","","","","",""
"","","","TRUE","","Block SK 2C (MYS)","","","","","",""
"","","","TRUE","","Block SK 314A (MYS)","","","","","",""
"","","","TRUE","","Block W (GNQ)","","","","","",""
"","","","TRUE","","Browse (AUS)","Block WA-408-P","","","","",""
"","","","TRUE","","Carnarvon (AUS)","Block WA-476-P","","","","",""
"","","","TRUE","","Perth (AUS)","Block WA-481-P","","","","",""
"","","","TRUE","","Bonaparte (AUS)","","","","","",""
"","","","TRUE","","Montney (CAN)","Tupper West","Brassey","","","",""
"","","","TRUE","","Browse (AUS)","","","","","",""
"","","","TRUE","","Carnarvon (AUS)","","","","","",""
"","","","TRUE","","Eagle Ford Shale (USA)","Catarina","","","","",""
"","","","TRUE","","Ceduna (AUS)","","","","","",""
"","","","TRUE","","Other Onshore (CAN)","Cooper","","","","",""
"","","","TRUE","","Gulf of Mexico (USA)","Dalmatian","","","","",""
"","","","TRUE","","Eagle Ford Shale (USA)","","","","","",""
"","","","TRUE","","East Coast (CAN)","","","","","",""
"","","","TRUE","","Eagle Ford Shale (USA)","East Tilden","","","","",""
"","","","TRUE","","Gulf of Mexico (USA)","Front Runner","","","","",""
"","","","TRUE","","Montney (CAN)","Tupper West","Groundbirch","","","",""
"","","","TRUE","","Gulf of Mexico (USA)","","","","","",""
"","","","TRUE","","Gulf of Mexico (USA)","Habanero","","","","",""
"","","","TRUE","","East Coast (CAN)","Hibernia","","","","",""
"","","","TRUE","","Other Onshore (CAN)","Kainai","","","","",""
"","","","TRUE","","Kakap (MYS)","","","","","",""
"","","","TRUE","","Eagle Ford Shale (USA)","Karnes","","","","",""
"","","","TRUE","","Kenarong (MYS)","","","","","",""
"","","","TRUE","","Kenarong North (MYS)","","","","","",""
"","","","TRUE","","Kikeh (MYS)","","","","","",""
"","","","TRUE","","Gulf of Mexico (USA)","Kodiak","","","","",""
"","","","TRUE","","Gulf of Mexico (USA)","Medusa","","","","",""
"","","","TRUE","","Other Onshore (CAN)","Misc Onshore","","","","",""
"","","","TRUE","","Gulf of Mexico (USA)","Mondo","","","","",""
"","","","TRUE","","Montney (CAN)","","","","","",""
"","","","TRUE","","Eagle Ford Shale (USA)","Nueces","","","","",""
"","","","TRUE","","Other Onshore (CAN)","","","","","",""
"","","","TRUE","","Pertang (MYS)","","","","","",""
"","","","TRUE","","Perth (AUS)","","","","","",""
"","","","TRUE","","Other Onshore (CAN)","Rainbow","","","","",""
"","","","TRUE","","Sabah Trough (BRN)","","","","","",""
"","","","TRUE","","Sarawak (MYS)","","","","","",""
"","","","TRUE","","Seal (CAN)","Seal","","","","",""
"","","","TRUE","","Seal (CAN)","","","","","",""
"","","","TRUE","","Seal (CAN)","Seal North","","","","",""
"","","","TRUE","","Seram Trough (IDN)","Semai IV","","","","",""
"","","","TRUE","","Seram Trough (IDN)","","","","","",""
"","","","TRUE","","Siakap North (MYS)","","","","","",""
"","","","TRUE","","Other Onshore (CAN)","Standoff","","","","",""
"","","","TRUE","","Montney (CAN)","Tupper West","Sundown","","","",""
"","","","TRUE","","Syncrude (CAN)","","","","","",""
"","","","TRUE","","Gulf of Mexico (USA)","Tahoe","","","","",""
"","","","TRUE","","East Coast (CAN)","Terra Nova","","","","",""
"","","","TRUE","","Gulf of Mexico (USA)","Thunder Hawk","","","","",""
"","","","TRUE","","Eagle Ford Shale (USA)","Tilden","","","","",""
"","","","TRUE","","Montney (CAN)","Tupper Main","","","","",""
"","","","TRUE","","Montney (CAN)","Tupper West","","","","",""
"","","","TRUE","","Montney (CAN)","Tupper West","Tupper West","","","",""
"","","","TRUE","","Vulcan (AUS)","","","","","",""
"","","","TRUE","","West Patricia (MYS)","","","","","",""
"","","","TRUE","","Seram Trough (IDN)","Wokam II","","","","",""
