"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"Commodity","","","TRUE","","","","","","","",""
"","","","TRUE","","C5","","","","","",""
"","","","TRUE","","Crude","","","","","",""
"","","","TRUE","","Dated Brent","","","","","",""
"","","","TRUE","","Electricity","","","","","",""
"","","","TRUE","","LLS","","","","","",""
"","","","TRUE","","Natural Gas","","","","","",""
"","","","TRUE","","NGL","","","","","",""
"","","","TRUE","","Seal Heavy Blend","","","","","",""
"","","","TRUE","","Synthetic","","","","","",""
"","","","TRUE","","Transportation","","","","","",""
"","","","TRUE","","WCS","","","","","",""
"","","","TRUE","","WTI","","","","","",""
