"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"Company","","","TRUE","","","","","","","",""
"","","","TRUE","","Murphy Australia Oil Pty. Ltd.","","","","","",""
"","","","TRUE","","Murphy Exploration and Production Company","","","","","",""
"","","","TRUE","","Murphy Oil Company Ltd.","","","","","",""
"","","","TRUE","","Murphy Oil Corporation","","","","","",""
"","","","TRUE","","Murphy Oil Corporation, Govt. Affairs Office","","","","","",""
"","","","TRUE","","Murphy Overseas Ventures Inc., Indonesia Rep. Office","","","","","",""
"","","","TRUE","","Murphy Peninsular Malaysia Oil Co., Ltd.","","","","","",""
"","","","TRUE","","Murphy Sabah Oil Co., Ltd.","","","","","",""
"","","","TRUE","","Murphy Sarawak Oil Co., Ltd.","","","","","",""
"","","","TRUE","","Murphy West Africa Ltd.","","","","","",""
