"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"Department","","","TRUE","","","","","","","",""
"","","","TRUE","","Administration","Admin Services ? Facilities","","","","",""
"","","","TRUE","","Administration","","","","","",""
"","","","TRUE","","Finance","Audit","","","","",""
"","","","TRUE","","Global Offshore","E Hemisphere Offshore Operations","Australia Offshore Operations","","","",""
"","","","TRUE","","Administration","Aviation","","","","",""
"","","","TRUE","","Administration","Aviation","Aviation Maintenance","","","",""
"","","","TRUE","","Administration","Global Human Resources","Benefits","","","",""
"","","","TRUE","","Business Development","","","","","",""
"","","","TRUE","","North America Onshore","Canada Operations","","","","",""
"","","","TRUE","","Administration","Compliance","","","","",""
"","","","TRUE","","Finance","Controllers","","","","",""
"","","","TRUE","","Corporate Accounting","","","","","",""
"","","","TRUE","","Administration","Corporate Insurance","","","","",""
"","","","TRUE","","Corporate Planning ? Services","","","","","",""
"","","","TRUE","","Corporate Planning ? Services","Corporate Reserves","","","","",""
"","","","TRUE","","Finance","Treasury","Credit","","","",""
"","","","TRUE","","Global Exploration","E Hemisphere Offshore Exploration","","","","",""
"","","","TRUE","","Global Offshore","E Hemisphere Offshore Operations","","","","",""
"","","","TRUE","","Corporate Planning ? Services","E?P Marketing","","","","",""
"","","","TRUE","","North America Onshore","Eagle Ford Shale","","","","",""
"","","","TRUE","","Administration","Corporate Insurance","Enterprise Risk Management","","","",""
"","","","TRUE","","Executive","","","","","",""
"","","","TRUE","","Finance","","","","","",""
"","","","TRUE","","Administration","Admin Services ? Facilities","Gen Services - Building Operations","","","",""
"","","","TRUE","","Administration","Admin Services ? Facilities","Gen Services - Office Services","","","",""
"","","","TRUE","","Global Exploration","Geoscience Services","","","","",""
"","","","TRUE","","Investor Relations","Global Communications","","","","",""
"","","","TRUE","","Global Exploration","","","","","",""
"","","","TRUE","","Global HSE","","","","","",""
"","","","TRUE","","Administration","Global Human Resources","","","","",""
"","","","TRUE","","Administration","Global Information Services","","","","",""
"","","","TRUE","","Administration","Global Information Services","Global IT Operations","","","",""
"","","","TRUE","","Global Offshore","","","","","",""
"","","","TRUE","","Corporate Planning ? Services","Global Procurement","","","","",""
"","","","TRUE","","Administration","Corporate Insurance","Global Security","","","",""
"","","","TRUE","","Global Exploration","GOM Exploration","","","","",""
"","","","TRUE","","Administration","Govt. Affairs","","","","",""
"","","","TRUE","","Administration","Global Human Resources","HR Administration","","","",""
"","","","TRUE","","Administration","Global Human Resources","HR Southeast Asia","","","",""
"","","","TRUE","","Global HSE","HSE - Canada","","","","",""
"","","","TRUE","","Global HSE","HSE - Offshore","","","","",""
"","","","TRUE","","Global HSE","HSE - Onshore","","","","",""
"","","","TRUE","","Global HSE","HSE - Southeast Asia","","","","",""
"","","","TRUE","","Administration","Global Information Services","Global IT Operations","Infrastructure","","",""
"","","","TRUE","","Investor Relations","","","","","",""
"","","","TRUE","","Administration","Global Information Services","IT Enterprise Applications","","","",""
"","","","TRUE","","Administration","Global Information Services","IT Operations - Canada","","","",""
"","","","TRUE","","Administration","Global Information Services","Global IT Operations","IT Program Management","","",""
"","","","TRUE","","Administration","Global Information Services","Global IT Operations","IT Security","","",""
"","","","TRUE","","Administration","Global Information Services","IT Technical Applications","","","",""
"","","","TRUE","","Administration","Global Information Services","IT Upstream","","","",""
"","","","TRUE","","North America Onshore","Land Operations","","","","",""
"","","","TRUE","","North America Onshore","Land Operations","Land Operations - Catarina","","","",""
"","","","TRUE","","North America Onshore","Land Operations","Land Operations - EFS","","","",""
"","","","TRUE","","North America Onshore","Land Operations","Land Operations - Karnes","","","",""
"","","","TRUE","","North America Onshore","Land Operations","Land Operations - Tilden","","","",""
"","","","TRUE","","Administration","Law","","","","",""
"","","","TRUE","","Global Offshore","E Hemisphere Offshore Operations","Malaysia Offshore Operations","","","",""
"","","","TRUE","","Administration","Global Information Services","Global IT Operations","Network Operations","","",""
"","","","TRUE","","Global Exploration","New Ventures","","","","",""
"","","","TRUE","","North America Onshore","","","","","",""
"","","","TRUE","","Global Exploration","Onshore Exploration","","","","",""
"","","","TRUE","","Corporate Planning ? Services","Planning","","","","",""
"","","","TRUE","","Administration","Global Human Resources","Talent Management","","","",""
"","","","TRUE","","Finance","Tax","","","","",""
"","","","TRUE","","Finance","Treasury","","","","",""
"","","","TRUE","","Administration","Global Information Services","Global IT Operations","User Support","","",""
"","","","TRUE","","Global Offshore","E Hemisphere Offshore Operations","Vietnam Offshore Operations","","","",""
"","","","TRUE","","Global Exploration","W Hemisphere Offshore Exploration","","","","",""
"","","","TRUE","","Global Offshore","W Hemisphere Offshore Operations","","","","",""
"","","","TRUE","","Worldwide Drilling","","","","","",""
