"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"Document Type","","","TRUE","","","","","","","",""
"","","","TRUE","","Datasheet","","","","","",""
"","","","TRUE","","Interoffice Memo","","","","","",""
"","","","TRUE","","Letterhead","","","","","",""
"","","","TRUE","","Logo","","","","","",""
"","","","TRUE","","Meeting Minutes","","","","","",""
"","","","TRUE","","Other","","","","","",""
"","","","TRUE","","Policy ? Procedure","","","","","",""
"","","","TRUE","","Presentation","","","","","",""
"","","","TRUE","","Procurement Artifact","","","","","",""
"","","","TRUE","","Project Management","","","","","",""
"","","","TRUE","","Publication","","","","","",""
"","","","TRUE","","Report","","","","","",""
"","","","TRUE","","Technical Documents","","","","","",""
