"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"Facility","","","TRUE","","","","","","","",""
"","","","TRUE","","EFS-CAT-BRN, Briggs North","","","","","",""
"","","","TRUE","","EFS-CAT-BUC, Buckhorn","","","","","",""
"","","","TRUE","","EFS-CAT-KBS, KBS","","","","","",""
"","","","TRUE","","EFS-CAT-KIN, King","","","","","",""
"","","","TRUE","","EFS-CAT-KON, Kone","","","","","",""
"","","","TRUE","","EFS-CAT-STM, Stumberg","","","","","",""
"","","","TRUE","","EFS-EFS-EFS, All","","","","","",""
"","","","TRUE","","EFS-ETD-SCD, Scared Dog","","","","","",""
"","","","TRUE","","EFS-ETD-TOM, Tom","","","","","",""
"","","","TRUE","","EFS-KRN-CMB, Combs","","","","","",""
"","","","TRUE","","EFS-KRN-DRE, Drees","","","","","",""
"","","","TRUE","","EFS-KRN-LIN, Linhart","","","","","",""
"","","","TRUE","","EFS-KRN-LTK, Latka","","","","","",""
"","","","TRUE","","EFS-KRN-MKA, Manka","","","","","",""
"","","","TRUE","","EFS-NTD-JSP, Jasper Pool","","","","","",""
"","","","TRUE","","EFS-TDN-BAR, Baring","","","","","",""
"","","","TRUE","","EFS-TDN-DBK, Double K","","","","","",""
"","","","TRUE","","EFS-TDN-DLC, DL Ranch","","","","","",""
"","","","TRUE","","EFS-TDN-EDW, Edwards","","","","","",""
"","","","TRUE","","EFS-TDN-JMB, Jambers","","","","","",""
"","","","TRUE","","EFS-TDN-PNT, Pennington","","","","","",""
"","","","TRUE","","EFS-TDN-SAY, Saylee South","","","","","",""
"","","","TRUE","","EFS-TDN-SWM, Swaim","","","","","",""
"","","","TRUE","","EFS-TDN-TEA, Teal","","","","","",""
"","","","TRUE","","EFS-TDN-TYL, Tyler","","","","","",""
"","","","TRUE","","EFS-TDN-YBR, Y Bar","","","","","",""
