"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"Month","","","TRUE","","","","","","","",""
"","","","TRUE","","01","","","","","",""
"","","","TRUE","","02","","","","","",""
"","","","TRUE","","03","","","","","",""
"","","","TRUE","","04","","","","","",""
"","","","TRUE","","05","","","","","",""
"","","","TRUE","","06","","","","","",""
"","","","TRUE","","07","","","","","",""
"","","","TRUE","","08","","","","","",""
"","","","TRUE","","09","","","","","",""
"","","","TRUE","","10","","","","","",""
"","","","TRUE","","11","","","","","",""
"","","","TRUE","","12","","","","","",""
