"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"Murphy Sites","","","TRUE","","","","","","","",""
"","","","TRUE","","All Sites","EFS","4J MINERAL UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","4J MINERAL UNIT 3H","","","",""
"","","","TRUE","","All Sites","Alberta","","","","",""
"","","","TRUE","","All Sites","EFS","ALICE MAY-BARNETT EAST 3H","","","",""
"","","","TRUE","","All Sites","","","","","",""
"","","","TRUE","","All Sites","EFS","ALLEN UNIT 2H","","","",""
"","","","TRUE","","All Sites","Remote/VPN Offices","Amelia","","","",""
"","","","TRUE","","All Sites","EFS","ANTHONY WEST UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","ARMAND UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","ATZGER UNIT 3H","","","",""
"","","","TRUE","","All Sites","EFS","BARING 2H","","","",""
"","","","TRUE","","All Sites","EFS","BARING 4H","","","",""
"","","","TRUE","","All Sites","EFS","BARING 5H","","","",""
"","","","TRUE","","All Sites","EFS","BARING 8H","","","",""
"","","","TRUE","","All Sites","EFS","BARNETT UNIT 2H","","","",""
"","","","TRUE","","All Sites","EFS","Barring","","","",""
"","","","TRUE","","All Sites","EFS","BEK UNIT 3H","","","",""
"","","","TRUE","","All Sites","EFS","BELLAH UNIT 1H","","","",""
"","","","TRUE","","All Sites","Sarawak","BESA","","","",""
"","","","TRUE","","All Sites","Sarawak","Bintulu Office","","","",""
"","","","TRUE","","All Sites","Sarawak","Bintulu Warehouse","","","",""
"","","","TRUE","","All Sites","EFS","BLANFORD UNIT 2H","","","",""
"","","","TRUE","","All Sites","EFS","BODDEN UNIT 2H","","","",""
"","","","TRUE","","All Sites","Sarawak","BORF","","","",""
"","","","TRUE","","All Sites","EFS","BRIGGS 10H","","","",""
"","","","TRUE","","All Sites","EFS","BRIGGS 15H","","","",""
"","","","TRUE","","All Sites","EFS","BRIGGS 16H","","","",""
"","","","TRUE","","All Sites","EFS","BRIGGS 1H","","","",""
"","","","TRUE","","All Sites","EFS","BRIGGS 22H","","","",""
"","","","TRUE","","All Sites","EFS","BRIGGS 23H","","","",""
"","","","TRUE","","All Sites","EFS","BRIGGS 24H","","","",""
"","","","TRUE","","All Sites","EFS","BRIGGS 27H","","","",""
"","","","TRUE","","All Sites","EFS","BRIGGS 2H","","","",""
"","","","TRUE","","All Sites","EFS","BRIGGS 3H","","","",""
"","","","TRUE","","All Sites","EFS","BRIGGS 4H","","","",""
"","","","TRUE","","All Sites","EFS","BRIGGS 5H","","","",""
"","","","TRUE","","All Sites","EFS","BRIGGS 6H","","","",""
"","","","TRUE","","All Sites","EFS","BRIGGS 7H","","","",""
"","","","TRUE","","All Sites","EFS","BRIGGS 8H","","","",""
"","","","TRUE","","All Sites","EFS","Briggs North","","","",""
"","","","TRUE","","All Sites","EFS","BRIGGS NORTH CENTRAL FACILITY","","","",""
"","","","TRUE","","All Sites","EFS","BRIGGS SOUTN CENTRAL FACILITY","","","",""
"","","","TRUE","","All Sites","EFS","BRIGGS UNIT `A` 2H","","","",""
"","","","TRUE","","All Sites","EFS","BRIGGS UNIT D 3H","","","",""
"","","","TRUE","","All Sites","EFS","BRYMER 1H","","","",""
"","","","TRUE","","All Sites","Regional Offices","Calgary","","","",""
"","","","TRUE","","All Sites","EFS","CANNON 1H","","","",""
"","","","TRUE","","All Sites","EFS","CANNON UNIT 4H","","","",""
"","","","TRUE","","All Sites","EFS","CARON CENTRAL FACILITY","","","",""
"","","","TRUE","","All Sites","EFS","CARVER UNIT 2H","","","",""
"","","","TRUE","","All Sites","EFS","CARVER UNIT 5H","","","",""
"","","","TRUE","","All Sites","EFS","Catarina Office","","","",""
"","","","TRUE","","All Sites","EFS","CATERINA OFFICE","","","",""
"","","","TRUE","","All Sites","EFS","CB UNIT 1H","","","",""
"","","","TRUE","","All Sites","Data Centers","CBJ4","","","",""
"","","","TRUE","","All Sites","EFS","CEF 1H","","","",""
"","","","TRUE","","All Sites","EFS","CLYBURN UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","COMBS CENTRAL FACILITY","","","",""
"","","","TRUE","","All Sites","EFS","COMBS UNIT 3H","","","",""
"","","","TRUE","","All Sites","EFS","CRAZY MANKA CENTRAL FACILITY","","","",""
"","","","TRUE","","All Sites","EFS","D H UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","D L RANCH 12H","","","",""
"","","","TRUE","","All Sites","EFS","D L RANCH 14H","","","",""
"","","","TRUE","","All Sites","EFS","D L RANCH 19H","","","",""
"","","","TRUE","","All Sites","EFS","D L RANCH 20H","","","",""
"","","","TRUE","","All Sites","EFS","D L RANCH 4H","","","",""
"","","","TRUE","","All Sites","EFS","D L RANCH 7H","","","",""
"","","","TRUE","","All Sites","Data Centers","","","","",""
"","","","TRUE","","All Sites","Alberta","Dawsons Creek","","","",""
"","","","TRUE","","All Sites","EFS","DILLON UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","DL RANCH CENTRAL FACILITY","","","",""
"","","","TRUE","","All Sites","EFS","DOUBLE K 13H","","","",""
"","","","TRUE","","All Sites","EFS","DOUBLE K 20H","","","",""
"","","","TRUE","","All Sites","EFS","DOUBLE K 32H","","","",""
"","","","TRUE","","All Sites","EFS","DOUBLE K 3H","","","",""
"","","","TRUE","","All Sites","EFS","DOUBLE K 8H","","","",""
"","","","TRUE","","All Sites","EFS","DOUBLE K 9H","","","",""
"","","","TRUE","","All Sites","EFS","DOUBLE K CENTRAL FACILITY","","","",""
"","","","TRUE","","All Sites","EFS","DOUBLE K UNIT A 4H","","","",""
"","","","TRUE","","All Sites","EFS","DOVE EAST UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","DOVE EAST UNIT 2H","","","",""
"","","","TRUE","","All Sites","EFS","DOVE WEST UNIT 1H","","","",""
"","","","TRUE","","All Sites","EFS","DOVE WEST UNIT 3H","","","",""
"","","","TRUE","","All Sites","EFS","DOYLE UNIT 2H","","","",""
"","","","TRUE","","All Sites","EFS","Drees","","","",""
"","","","TRUE","","All Sites","EFS","DREES A-179 2H","","","",""
"","","","TRUE","","All Sites","EFS","DREES A-179 3H","","","",""
"","","","TRUE","","All Sites","Labuan","DTU Spar","","","",""
"","","","TRUE","","All Sites","EFS","Edwards","","","",""
"","","","TRUE","","All Sites","EFS","EDWARDS UNIT 4H","","","",""
"","","","TRUE","","All Sites","EFS","","","","",""
