"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"Operating Region","","","TRUE","","","","","","","",""
"","","","TRUE","","North America","United States","Houston","10.081","","",""
"","","","TRUE","","Atlantic Margin","","","","","",""
"","","","TRUE","","Australia","Australia","","","","",""
"","","","TRUE","","Australia","","","","","",""
"","","","TRUE","","Southeast Asia","Malaysia","Bintulu","","","",""
"","","","TRUE","","Southeast Asia","Malaysia","BORF_Office","","","",""
"","","","TRUE","","Southeast Asia","Malaysia","BORF_Operations","","","",""
"","","","TRUE","","Southeast Asia","Brunei","","","","",""
"","","","TRUE","","North America","Canada","Calgary","","","",""
"","","","TRUE","","North America","Canada","","","","",""
"","","","TRUE","","North America","United States","Catarina / Eagleford Shale","","","",""
"","","","TRUE","","North America","Canada","Dawson Creek Office","","","",""
"","","","TRUE","","North America","United States","Desoto Canyon 48 Ocs 10440","","","",""
"","","","TRUE","","North America","United States","Eagleford Shale","","","",""
"","","","TRUE","","North America","United States","El Dorado","","","",""
"","","","TRUE","","North America","United States","El Dorado","El Dorado - 0190","","",""
"","","","TRUE","","Atlantic Margin","Equatorial Guinea","","","","",""
"","","","TRUE","","North America","United States","Green Canyon 339 Field","","","",""
"","","","TRUE","","North America","United States","Houston","","","",""
"","","","TRUE","","North America","United States","Houston","Houston - 0190","","",""
"","","","TRUE","","North America","United States","Houston","Houston - 0329","","",""
"","","","TRUE","","North America","United States","Houston","Houston - 0390","","",""
"","","","TRUE","","North America","United States","Houston - Hangar","","","",""
"","","","TRUE","","North America","United States","Houston","Houston 0391","","",""
"","","","TRUE","","Southeast Asia","Indonesia","","","","",""
"","","","TRUE","","North America","United States","JV Office","","","",""
"","","","TRUE","","North America","United States","Karnes / Eagleford Shale","","","",""
"","","","TRUE","","Southeast Asia","Malaysia","Kuala Lumpur","","","",""
"","","","TRUE","","Southeast Asia","Malaysia","Labuan","","","",""
"","","","TRUE","","Southeast Asia","Malaysia","Labuan Supply Base","","","",""
"","","","TRUE","","Southeast Asia","Malaysia","","","","",""
"","","","TRUE","","North America","United States","Miss Canyon 582 Field","","","",""
"","","","TRUE","","North America","United States","Miss Canyon 776/734 Field","","","",""
"","","","TRUE","","Australia","Australia","Murphy Australia Oil","","","",""
"","","","TRUE","","Southeast Asia","Vietnam","Murphy Nha Trang Oil Co., Ltd.","","","",""
"","","","TRUE","","Atlantic Margin","Namibia","","","","",""
"","","","TRUE","","North America","","","","","",""
"","","","TRUE","","Southeast Asia","Malaysia","Northern Hub","","","",""
"","","","TRUE","","Southeast Asia","Malaysia","Offshore - Sabah","","","",""
"","","","TRUE","","Southeast Asia","Malaysia","Offshore - Sarawak","","","",""
"","","","TRUE","","Australia","Australia","Perth","","","",""
"","","","TRUE","","North America","Canada","Seal","","","",""
"","","","TRUE","","Southeast Asia","","","","","",""
"","","","TRUE","","Southeast Asia","Malaysia","Southern Hub","","","",""
"","","","TRUE","","North America","United States","Tilden / Eagleford Shale","","","",""
"","","","TRUE","","North America","United States","Tilden East / Eagleford Shale","","","",""
"","","","TRUE","","North America","Canada","Tupper Main","","","",""
"","","","TRUE","","North America","Canada","Tupper West","","","",""
"","","","TRUE","","North America","United States","","","","",""
"","","","TRUE","","Southeast Asia","Vietnam","","","","",""
"","","","TRUE","","North America","United States","Washington","","","",""
