"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"Year","","","TRUE","","","","","","","",""
"","","","TRUE","","1995","","","","","",""
"","","","TRUE","","1996","","","","","",""
"","","","TRUE","","1997","","","","","",""
"","","","TRUE","","1998","","","","","",""
"","","","TRUE","","1999","","","","","",""
"","","","TRUE","","2000","","","","","",""
"","","","TRUE","","2001","","","","","",""
"","","","TRUE","","2002","","","","","",""
"","","","TRUE","","2003","","","","","",""
"","","","TRUE","","2004","","","","","",""
"","","","TRUE","","2005","","","","","",""
"","","","TRUE","","2006","","","","","",""
"","","","TRUE","","2007","","","","","",""
"","","","TRUE","","2008","","","","","",""
"","","","TRUE","","2009","","","","","",""
"","","","TRUE","","2010","","","","","",""
"","","","TRUE","","2011","","","","","",""
"","","","TRUE","","2012","","","","","",""
"","","","TRUE","","2013","","","","","",""
"","","","TRUE","","2014","","","","","",""
"","","","TRUE","","2015","","","","","",""
"","","","TRUE","","2016","","","","","",""
"","","","TRUE","","2017","","","","","",""
"","","","TRUE","","2018","","","","","",""
"","","","TRUE","","2019","","","","","",""
"","","","TRUE","","2020","","","","","",""
"","","","TRUE","","2021","","","","","",""
"","","","TRUE","","2022","","","","","",""
"","","","TRUE","","2023","","","","","",""
"","","","TRUE","","2024","","","","","",""
"","","","TRUE","","2025","","","","","",""
"","","","TRUE","","2026","","","","","",""
"","","","TRUE","","2027","","","","","",""
"","","","TRUE","","2028","","","","","",""
"","","","TRUE","","2029","","","","","",""
"","","","TRUE","","2030","","","","","",""
