"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"HR Policy","","","TRUE","","","","","","","",""
"","","","TRUE","","Banking","","","","","",""
"","","","TRUE","","Business Traveler","","","","","",""
"","","","TRUE","","COLA","","","","","",""
"","","","TRUE","","FSP","","","","","",""
"","","","TRUE","","Home Leave","","","","","",""
"","","","TRUE","","Housing ? Utilities","","","","","",""
"","","","TRUE","","Immigration","","","","","",""
"","","","TRUE","","Language ? Cultural Support","","","","","",""
"","","","TRUE","","Long Term Strategy","","","","","",""
"","","","TRUE","","Permanent Transfer","","","","","",""
"","","","TRUE","","R?R","","","","","",""
"","","","TRUE","","Regional","","","","","",""
"","","","TRUE","","Rotational","","","","","",""
"","","","TRUE","","Schooling","","","","","",""
"","","","TRUE","","Short Term Assignment","","","","","",""
"","","","TRUE","","Tax","","","","","",""
"","","","TRUE","","Vacation","","","","","",""
