"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"HSE MS Element","","","TRUE","","","","","","","",""
"","","","TRUE","","Element 1: Management ? Employee Commitment","","","","","",""
"","","","TRUE","","Element 10: Incident Reporting, Investigation ? Analysis","","","","","",""
"","","","TRUE","","Element 11: Evaluation ? Improvement","","","","","",""
"","","","TRUE","","Element 2: Roles, Responsibilities ? Involvement","","","","","",""
"","","","TRUE","","Element 3: Compliance Assurance","","","","","",""
"","","","TRUE","","Element 4: Risk Management","","","","","",""
"","","","TRUE","","Element 5: Facility Design ? Construction","","","","","",""
"","","","TRUE","","Element 6: Operational Control ? Maintenance","","","","","",""
"","","","TRUE","","Element 7: Contractor Management","","","","","",""
"","","","TRUE","","Element 8: Training ? Competency","","","","","",""
"","","","TRUE","","Element 9: Emergency Response ? Crisis Management","","","","","",""
