"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"MOC Navigation","","","TRUE","","","","","","","",""
"","","","TRUE","","Home","","","","","",""
"","","","TRUE","","Our Company","","","","","",""
"","","","TRUE","","Employee Center","","","","","",""
"","","","TRUE","","Services","","","","","",""
"","","","TRUE","","Operations","","","","","",""
"","","","TRUE","","Collaborate","","","","","",""
"","","","TRUE","","Resources","","","","","",""
"","","","TRUE","","Services","Administration","","","","",""
"","","","TRUE","","Resources","Applications","","","","",""
"","","","TRUE","","Employee Center","Benefits","","","","",""
"","","","TRUE","","Services","Business Development","","","","",""
"","","","TRUE","","Employee Center","Code of Business Conduct","","","","",""
"","","","TRUE","","Resources","Connect Tutorials","","","","",""
"","","","TRUE","","Our Company","Contacts","","","","",""
"","","","TRUE","","Services","Corporate Planning ? Services","","","","",""
"","","","TRUE","","Resources","Employee Directory","","","","",""
"","","","TRUE","","Employee Center","Employee Handbook","","","","",""
"","","","TRUE","","Employee Center","Employee Stock Purchase Plan","","","","",""
"","","","TRUE","","Services","Facilities","","","","",""
"","","","TRUE","","Resources","FAQs","","","","",""
"","","","TRUE","","Resources","Forms","","","","",""
"","","","TRUE","","Services","Global Communications","","","","",""
"","","","TRUE","","Operations","Global Exploration","","","","",""
"","","","TRUE","","Services","Global Finance","","","","",""
"","","","TRUE","","Services","Global HSE","","","","",""
"","","","TRUE","","Services","Global Human Resources","","","","",""
"","","","TRUE","","Services","Global Information Services","","","","",""
"","","","TRUE","","Operations","Global Offshore","","","","",""
"","","","TRUE","","Operations","Global Onshore","","","","",""
"","","","TRUE","","Services","Global Procurement","","","","",""
"","","","TRUE","","Services","Global SAP","","","","",""
"","","","TRUE","","Employee Center","International HR","","","","",""
"","","","TRUE","","Employee Center","Job Postings","","","","",""
"","","","TRUE","","Operations","Land Operations","","","","",""
"","","","TRUE","","Services","Legal","","","","",""
"","","","TRUE","","Our Company","Locations","","","","",""
"","","","TRUE","","Services","Murphy Compliance ? Ethics","","","","",""
"","","","TRUE","","Our Company","Murphy Oil Corporation","","","","",""
"","","","TRUE","","Employee Center","Onboarding","","","","",""
"","","","TRUE","","Employee Center","Organization Charts","","","","",""
"","","","TRUE","","Employee Center","Performance Management","","","","",""
"","","","TRUE","","Resources","Policies and Procedures","","","","",""
"","","","TRUE","","Collaborate","Projects","","","","",""
"","","","TRUE","","Resources","Reporting Portal","","","","",""
"","","","TRUE","","Resources","Service Desk","","","","",""
"","","","TRUE","","Employee Center","Special Recognition Award Program","","","","",""
"","","","TRUE","","Collaborate","Teams","","","","",""
"","","","TRUE","","Employee Center","Training ? Compliance","","","","",""
"","","","TRUE","","Employee Center","Travel Assistance","","","","",""
"","","","TRUE","","Operations","Worldwide Drilling","","","","",""
