"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"Discipline","","","TRUE","","","","","","","",""
"","","","TRUE","","Civil (CVL)","","","","","",""
"","","","TRUE","","Design (DSG)","","","","","",""
"","","","TRUE","","Electrical (ELC)","","","","","",""
"","","","TRUE","","General (GEN)","","","","","",""
"","","","TRUE","","Geology (GNG)","","","","","",""
"","","","TRUE","","Health, Safety ? Environment (HSE)","","","","","",""
"","","","TRUE","","Instrumentation (INS)","","","","","",""
"","","","TRUE","","Mechanical (MEC)","","","","","",""
"","","","TRUE","","Piping (PIP)","","","","","",""
"","","","TRUE","","Process (PRO)","","","","","",""
"","","","TRUE","","Reservoir (RVE)","","","","","",""
