"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"Equipment","","","TRUE","","","","","","","",""
"","","","TRUE","","Chemical Injection System","","","","","",""
"","","","TRUE","","Chiller Package System","","","","","",""
"","","","TRUE","","Condensate Stabilization and Fuel Gas System","","","","","",""
"","","","TRUE","","Crane System","","","","","",""
"","","","TRUE","","Diesel System","","","","","",""
"","","","TRUE","","Firewater System","","","","","",""
"","","","TRUE","","Flare, Vent and Closed Drain System","","","","","",""
"","","","TRUE","","HVAC System","","","","","",""
"","","","TRUE","","Hypochlorinator System","","","","","",""
"","","","TRUE","","ICS System","","","","","",""
"","","","TRUE","","Instrument and Utility Air System","","","","","",""
"","","","TRUE","","Navigation Aids System","","","","","",""
"","","","TRUE","","Nitrogen System","","","","","",""
"","","","TRUE","","Open Drain System","","","","","",""
"","","","TRUE","","Pipeline or Pigging System","","","","","",""
"","","","TRUE","","Produced Water System","","","","","",""
"","","","TRUE","","Seawater System","","","","","",""
"","","","TRUE","","Service Water System","","","","","",""
"","","","TRUE","","Well Cleanup System","","","","","",""
