"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"Exploration","","","TRUE","","","","","","","",""
"","","","TRUE","","Basin Modeling","","","","","",""
"","","","TRUE","","Discovery Appraisal","","","","","",""
"","","","TRUE","","Exploration Data","","","","","",""
"","","","TRUE","","Exploratory Drilling","","","","","",""
"","","","TRUE","","Well Metrics","Flow Potential","","","","",""
"","","","TRUE","","Well Metrics","Formation Permeability","","","","",""
"","","","TRUE","","Geology","","","","","",""
"","","","TRUE","","Well Metrics","Lithostatic Pressure","","","","",""
"","","","TRUE","","Oil Trap","","","","","",""
"","","","TRUE","","Reserve Definition","Possible Reserve","","","","",""
"","","","TRUE","","Reserve Definition","Probable Reserve","","","","",""
"","","","TRUE","","Reserve Definition","Proven Reserve","","","","",""
"","","","TRUE","","Reserve Definition","","","","","",""
"","","","TRUE","","Well Metrics","Reserve Heterogenity","","","","",""
"","","","TRUE","","Well Metrics","Reservoir Pressure","","","","",""
"","","","TRUE","","Surveying","","","","","",""
"","","","TRUE","","Well Metrics","","","","","",""
