ErrorID,hrResult,ErrorLevel,MarkDelete,ErrorMsg
0,0,0,0,Crawled
1,266755,0,0,The content did not change.
2,1,1,0,Deleted by the gatherer
3,-2147156712,2,0,Document content was updated out of order by 2 or more crawls.
4,-2147218169,1,1,Item not crawled due to one of the following reasons: Preventive crawl rule; Specified content source hops/depth exceeded; URL has query string parameter; Required protocol handler not found; Preventive robots directive.
5,-2147218168,1,0,The specified address was excluded from the index. The site hops or page depth restrictions may have to be modified to include this address.
6,265520,1,0,The filtering process could not load the item. This is possibly caused by an unrecognized item format or item corruption.
7,265582,1,0,This item comprises multiple parts and/or may have attachments. Not all of these parts were indexed. They may either be invalid or deliberately skipped (e.g. images). The remote server may also have been unresponsive while indexing these parts.
8,265616,1,0,"The content for this address was excluded by the crawler because this item was marked with a no-index meta-tag. To index this item, remove the meta-tag and recrawl."
9,265626,1,0,This document is a child of another document.  It will not be cataloged separately.
10,-2147217977,1,0,Removed from the search index by Admin.
11,265674,1,0,The URL was permanently moved.
12,-2147217948,1,0,This URL is part of a host header SharePoint deployment and the search application is not configured to crawl individual host header sites. This will be crawled as a part of the host header Web application if configured as a start address.
13,266761,1,0,The filtering process terminated because the item content reached the maximum filter output limit. Check that the filter does not generate a large amount of data relative to the size of the document. The item's content may be too large to index.
14,266764,1,0,The file reached the maximum download limit. Check that the full text of the document can be meaningfully crawled.
15,266810,1,0,This item and all items under it will not be crawled because the owner has set the NoCrawl flag to prevent it from being searchable
16,-2147156723,1,1,This URL uses V3 format and will be deleted. This will be recrawled using V4 format
17,-2147156722,1,1,The object was deleted.
18,327456,1,0,Item format unsupported.
19,327457,1,0,The document format is not recognized by the filter.
20,327458,1,0,Processing this item failed because the parser could not recognize the content's encoding.
21,327459,1,0,This item was truncated because the parsed output was greater than the maximum number of allowed characters.

22,327460,1,0,File is too large to filter.
23,327461,1,0,The file is in an unsupported version.
24,327462,1,0,File was not filtered due to password protection.
25,327463,1,0,This item was partially parsed.
The item has been truncated in the index because it exceeds the maximum size.

26,327464,1,0,The item has been truncated in the index because it exceeds the maximum size.
27,-2147156682,1,0,The document and its children needs to be reindexed as SharePoint Version was upgraded.
28,-2147216848,1,0,The claims cookie used by the crawler has expired.
29,-2130575324,2,0,The backend SQL Server for the SharePoint site being crawled is not responsive.
30,-2130575247,2,0,Access to this SharePoint site has been blocked. Please contact the administrator to resolve this problem.
31,-2147319765,2,0,Unknown error occurred while loading the .NET assemblies during the crawl. This item will be retried in the next incremental crawl.
32,-2147024882,2,0,Ran out of memory.
33,-2147024825,2,0,No more connections can be made to this remote computer at this time because there are already as many connections as the computer can accept.
34,-2147024703,2,0,%1 is not a valid Win32 application.
35,-2147023783,2,0,Crawling of this item failed because the item contained Unicode characters that could not be processed by the crawler.
36,-2147023570,2,0,Item was not crawled because of a password change. Update password and retry crawling.
37,-2147023173,2,0,The remote server is too busy to respond to the crawler.
38,-2147217887,2,0,A database error occurred on the repository when crawling this item
39,-2147215872,2,0,The call failed for an unknown reason.
40,-2147215871,2,0,The parameter is not valid.
41,-2147215870,2,0,The query restriction could not be parsed.
42,-2147215869,2,0,A sort order that is not valid was requested.
43,-2147215868,2,0,A categorization order that is not valid was requested.
44,-2147215867,2,0,"The query you typed contains only words to exclude from results. Type one or more search words to include, and then retry your search."
45,-2147215866,2,0,The query was too complex to be executed.
46,-2147215865,2,0,The query exceeded its execution time limit.
47,-2147215864,2,0,One or more columns in the output column list is a duplicate.
48,-2147215863,2,0,One or more columns in the output column list are not valid.
49,-2147215862,2,0,The directory name is not valid.
50,-2147215861,2,0,Specified directory is on a removable medium.
51,-2147215860,2,0,"The catalog is in a state where it can continue crawling, but queries are not allowed."
52,-2147215859,2,0,A clause of the query contained only ignored words and all the relevant documents specified are not found.
53,-2147215858,2,0,All the relevant documents specified in the query are not found.
54,-2147215857,2,0,A clause of the query contained only ignored words and no data is found in the relevant documents under the specified properties.
55,-2147215856,2,0,No relevant data is found in the relevant documents under the specified properties for this query.
56,-2147215855,2,0,The same relevant document is specified multiple times.
57,-2147215854,2,0,The reldoc specification is not supported.
58,-2147215853,2,0,The document identifier specified is not valid.
59,-2147215852,2,0,The server version is older and cannot handle this query
60,-2147215851,2,0,The scopes should be identical in all the components of a coalesce query
61,-2147215850,2,0,The order by list should be identical in all the components of a coalesce query
62,-2147215849,2,0,Coalesce is either not used properly or this form is not supported at present: check possible mixing of grouping with coalesce
63,-2147215848,2,0,Queries are disabled because the catalog is being upgraded.  Try your query again in a few minutes.
64,-2147215847,2,0,A clause of the query contained only excluded terms.
65,-2147215846,2,0,Could not perform negation because there are no positive candidates.  Try switching the QP strategy.
66,-2147215791,2,0,Cannot open file.
67,-2147215790,2,0,Read error in file.
68,-2147215789,2,0,Expecting property name.
69,-2147215788,2,0,Expecting type specifier.
70,-2147215787,2,0,Unrecognized type.
71,-2147215786,2,0,Expecting integer.
72,-2147215785,2,0,Expecting closing parenthesis.
73,-2147215784,2,0,Expecting GUID.
74,-2147215783,2,0,The guid is not valid.
75,-2147215782,2,0,Expecting property specifier.
76,-2147215781,2,0,Failed to set property name.
77,-2147215780,2,0,Duplicate property name.
78,-2147215779,2,0,DBTYPE_VECTOR or DBTYPE_BYREF used alone.
79,-2147215778,2,0,"DBTYPE_BYREF must be used with DBTYPE_STR, DBTYPE_WSTR, DBTYPE_GUID
 or DBTYPE_UI1 types."
80,-2147215776,2,0,Unexpected NOT operator.
81,-2147215775,2,0,Expecting integer.
82,-2147215774,2,0,Expecting real number.
83,-2147215773,2,0,Expecting date.
84,-2147215772,2,0,Expecting currency.
85,-2147215771,2,0,Expecting GUID.
86,-2147215770,2,0,Expecting closing bracket ']'.
87,-2147215769,2,0,Expecting closing parenthesis ')'.
88,-2147215768,2,0,Expecting property name.
89,-2147215767,2,0,Not yet implemented.
90,-2147215766,2,0,Expecting phrase.
91,-2147215765,2,0,Unsupported property type.
92,-2147215764,2,0,Expecting regular expression.
93,-2147215763,2,0,Regular expressions require a property of type string.
94,-2147215762,2,0,Invalid literal.
95,-2147215761,2,0,No such property.
96,-2147215760,2,0,Expecting end of string.
97,-2147215759,2,0,Expecting comma.
98,-2147215758,2,0,Unexpected end of string.
99,-2147215757,2,0,Weight must be from 1 through 1000 in short form queries and from 0.0 through 1.0 in long form queries.
100,-2147215756,2,0,A property that is not valid was found in the sort specification.
101,-2147215755,2,0,A sort order that was not valid was specified.  Only [a] and [d] are supported.
102,-2147215754,2,0,Couldn't convert a virtual path to a physical path.
103,-2147215753,2,0,An unsupported grouping type was specified.
104,-1073473928,2,0,A CiCodepage that is not valid was specified.
105,-2147215750,2,0,Invalid query.
106,-2147215749,2,0,Invalid rank method.
107,-2147215748,2,0,Coerce values must be from -1000 through 1000.
108,-2147215747,2,0,Different operator properties make the query non-associative.
109,-2147215746,2,0,Threshold must be from 0 through 1000.
110,-2147215745,2,0,Weight affect must be positive.
111,-2147215743,2,0,"The system is running out or one of more resources needed for filtering, most likely memory."
112,-2147215742,2,0,A critical error occurred during document filtering.  Consult system administrator.
113,-2147215741,2,0,Documents not stored in content index because partition has been deleted.
114,-2147215740,2,0,Documents not stored in content index because update of changelist failed.
115,-2147215738,2,0,Commit of wordlist failed.  Data not available for query.
116,-2147215737,2,0,No wordlist is being constructed.  May happen after fatal filter error.
117,-2147215736,2,0,During document filtering the limit on buffers has been exceeded.
118,-2147215711,2,0,Retrieval of hits as monikers is not supported (by filter passed into Init).
119,-2147215710,2,0,Retrieval of hits as filter regions is not supported (by filter passed into Init).
120,-2147215568,2,0,File is too large to filter.
121,-1073473740,2,0,The content index is corrupt. A content scan will to be scheduled after chkdsk or autochk is run.
122,-2147215562,2,0,A file is already open. Cannot open another one while a file is open.
123,-2147215561,2,0,The file is not reachable.
124,-2147215560,2,0,The document is in use by another process.
125,-2147215559,2,0,The document is not opened.
126,-2147215557,2,0,There is no property with the given GUID.
127,-2147215555,2,0,The document is offline.
128,-2147215554,2,0,The document was too large to filter in its entirety.  Portions of the document were not emitted.
129,-2147215488,2,0,End of text reached in text source.
130,-2147215486,2,0,Feature only available in query mode.
131,-2147215485,2,0,Buffer too small to hold composed phrase.
132,-2147215484,2,0,Language database/cache file could not be found.
133,-2147215483,2,0,Initialization of word breaker failed.
134,-2147215472,2,0,Feature only available in query mode.
135,-2147215471,2,0,Feature only available in index mode.
136,-2147215470,2,0,Attachment type beyond valid range.
137,-1073473536,2,0,The content index is corrupt.
138,-1073473535,2,0,The content index meta data is corrupt.
139,-1073473534,2,0,The content index partition is not valid.
140,-1073473533,2,0,The priority is not valid.
141,-1073473532,2,0,There is no starting key.
142,-1073473531,2,0,The content index is out of index ids.
143,-1073473530,2,0,There is no catalog.
144,-1073473529,2,0,The filter buffer is corrupt.
145,-1073473528,2,0,The index is not valid.
146,-1073473527,2,0,Inconsistency in property store detected.
147,-2147215350,2,0,The object is already initialized.
148,-2147215349,2,0,The object is not initialized.
149,-2147215348,2,0,The buffer is too small.
150,-2147215347,2,0,The given property is not cached.
151,-2147215345,2,0,The object is not in a valid state.
152,-2147215344,2,0,Filtering is disabled in this content index.
153,-2147215343,2,0,The disk is full and the specified operation cannot be done.
154,-2147215342,2,0,The request could not be completed because the process and/or catalog are being shutdown
155,-2147215341,2,0,The workid is not valid.
156,-2147215339,2,0,The object was not found.
157,-2147215338,2,0,The passed-in property id is not supported.
158,-2147215337,2,0,There were two notifications for the same workid.
159,-2147215336,2,0,A document update was rejected because updates were disabled.
160,-2147215335,2,0,The combination of flags specified is not valid.
161,-2147215334,2,0,The incremental data given to Load is not valid. It may be out of sequence.
162,-2147215333,2,0,A sharing or locking violation caused a failure.
163,-2147215332,2,0,A logon permission violation caused a failure.
164,-2147215331,2,0,"The catalog does not exist or is currently unavailable. Please retry the action again later and if this symptom persists, contact the system administrator."
165,-2147215330,2,0,Page size is not an integral multiple of the sector size of the volume where index is located.
166,-2147215329,2,0,Service is too busy.
167,-2147215328,2,0,Service is not running.
168,-1073473503,2,0,The content index data on disk is for the wrong version.
169,-1073473502,2,0,Enumeration has already been started for this query.
170,-1073473501,2,0,The specified variable length property is too large for the property cache.
171,-1073473500,2,0,Filtering of object was aborted by client.
172,-2147215321,2,0,Mismatch in cardinality of machine(s)/catalog(s)/scope(s).
173,-2147215320,2,0,The disk has reached its configured space limit.
174,-2147215319,2,0,Groupby clause is not supported on a distributed query.
175,-2147215318,2,0,The property store is not configured to handle auxiliary metadata storage.
176,-1073473491,2,0,The forward index is corrupt.
177,-1073473490,2,0,Catalog was created with different diacritic settings.
178,-1073473489,2,0,The thesaurus file is not valid.
179,-1073473488,2,0,Unicode byte order mark (0xFEFF) missing at the beginning of thesaurus file.
180,-1073473486,2,0,Ranking model XML is not valid.
181,-1073473485,2,0,Default ranking model is missing.
182,-1073473484,2,0,More than one default ranking model exists.
183,-1073473483,2,0,The same ID is used by different ranking models.
184,-1073473481,2,0,Requested ranking model does not exist.
185,-2147215616,2,0,No more chunks of text available in object.
186,-2147215615,2,0,No more text available in chunk.
187,-2147215614,2,0,No more property values available in chunk.
188,-2147215613,2,0,Unable to access object.
189,-2147215611,2,0,No text in current chunk.
190,-2147215610,2,0,No values in current chunk.
191,-2147215609,2,0,Unable to bind IFilter for embedded object.
192,-2147215608,2,0,Unable to bind IFilter for linked object.
193,-2147215605,2,0,File was not filtered due to password protection.
194,-2147215604,2,0,The document format is not recognized by the filter.
195,-2147215603,2,0,Flushes the buffer from the daemon
196,-2147212800,2,0,This scope has no default namespace.  Add a default namespace before continuing.
197,-2147212799,2,0,The SXQL is not valid.
198,-2147212798,2,0,An SXQL name no longer exists.
199,-2147212797,2,0,The XML property configuration file cannot be read. Restore it to a valid state.
200,-2147212796,2,0,The XML property configuration file is not in Unicode. The file must be saved as a Unicode file.
201,-2147213056,2,0,The specified application name is not valid. Check to see whether a search application with that name already exists.
202,-2147213055,2,0,The specified search application name was not found. It may have already been deleted.
203,-2147213054,2,0,The search application name already exists. Use a different name.
204,-2147213053,2,0,"The specified content index was not found. Check to see if it was deleted, or if there are errors in your application code."
205,-2147213052,2,0,The content index cannot be deleted while the search service is stopped. Restart the search service and try again.
206,-2147220736,2,0,A network read or write operation has failed.
207,-2147220733,2,0,The network connection was lost. Try the query again.
208,-2147220728,2,0,The parameters passed were not valid.
209,-2147220727,2,0,Another operation is already in progress on this socket. Try the query again.
210,-2147216381,2,0,"The search service is running as a local System service. To access Exchange documents, check that the search service is running in a user account with administrative privileges on the Exchange server."
211,-2147216383,2,0,The Exchange search provider cannot be initialized. You may have to reinstall the application.
212,-2147216382,2,0,The security provider was not initialized. You may have to reinstall the application.
213,-2147216129,2,0,Access is denied. You may not have sufficient privileges to perform the operation.
214,-2147220480,2,0,There is no more data to return. 
215,-2147220479,2,0,The requested content index name is not valid. Use a valid content index name.
216,-2147220478,2,0,The requested content index is disabled on the search server. Contact the system administrator to enable the content index. Check the event log for possible errors.
217,-2147220477,2,0,The query was cancelled at the user's request.
218,-2147220476,2,0,The request code is not valid.
219,-2147220475,2,0,The request data is not valid for the given request type.
220,-2147220474,2,0,"The request cannot be processed, because the system is low on resources. Try again later, or contact your system administrator to free up system resources."
221,-2147220473,2,0,The request or function call is out of sequence. Check for programming errors.
222,-2147220472,2,0,The query text is too long. 
223,-2147220471,2,0,The request cannot be processed because of an error in the search server.
224,-2147220470,2,0,The configuration file for the content index is not valid. 
225,-2147220469,2,0,The search server cannot create the backup configuration file. 
226,-2147220464,2,0,The search server cannot find one or more catalog files. Check the event log for related failures.
227,-2147220463,2,0,"The SetStatus operation cannot be completed, because another SetStatus operation is already in progress. Try again after the current operation is completed."
228,-2147220462,2,0,"The content index cannot be created, because another content index with the same name already exists. Create the content index using a different name."
229,-2147220461,2,0,"The content index cannot be created, because the limit on the number of indexes was reached. "
230,-2147220460,2,0,The search server cannot read or write to the registry. Check that the search server is running with administrative privileges.
231,-2147220459,2,0,The content index cannot be removed in the current state. Disable and remove the content index.
232,-2147220458,2,0,The tag database is not valid. Contact your system administrator.
233,-2147220457,2,0,The content index name is in the wrong format. Use a name without spaces or punctuation.
234,-2147220456,2,0,The configuration file is not the correct type.
235,-2147220455,2,0,There is a mismatch in the protocol between the search service and the client. Install the correct version of the client.
236,-2147220454,2,0,The index is already enabled. 
237,-2147220450,2,0,The requested parameter is unknown.
238,-2147220449,2,0,The buffer is too small. 
239,-2147220448,2,0,The parameter value is out of range. 
240,-2147220447,2,0,The content index is already disabled.
241,-2147220446,2,0,"The operation cannot be completed, because one or more queries failed to terminate in a timely manner. "
242,-2147220445,2,0,The result is not valid. 
243,-2147220444,2,0,The registry data cannot be written. Check that the search service is running with administrator privileges.
244,-2147220442,2,0,The content index cannot be created because an index with the same name already exists on the search server. Create the content index using a different name.
245,-2147220441,2,0,The content index cannot be enabled because its propagation version cannot be verified against the dedicated index server.  This can occur when either the dedicated index server is offline or the content index is out-of-date.  
246,-2147220223,2,0,The requested operation is not valid at this time. 
247,-2147220222,2,0,There is no more data to return. 
248,-2147220221,2,0,"The query cannot be collated, because columns using the same name have different types. "
249,-2147220220,2,0,Not enough buffer space is available to collate search results. 
250,-2147220218,2,0,The result row is corrupted. 
251,-2147220217,2,0,The search server did not return a column required for collation. 
252,-2147220216,2,0,The database ID is a duplicate. 
253,-2147220215,2,0,The data source merge exceeded the number of result columns. 
254,-2147220214,2,0,No default index was set. 
